Specialty,Education year,Form,Employement,FinancialSatisfaction,Psixoloji və sosial dəstək xidmətlərinin əlçatanlığını necə qiymətləndirirsiniz?,"Tədqiqat resurslarına və infrastrukturuna çıxış imkanlarınızı 1-dən 10-a qədər qiymətləndirin
",Supervisor_meeting,Quality_supervisor,Clearity_supervisor,supervising_progress,Supervisor_access,Supervisor_satisfaction,Təhsil dövründə iş–şəxsi həyatımda balans mövcuddur
Philology,1,Full time,No,Tam razıyam,Yaxşı,9,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Philology,3,Part time,Teaching,Razı deyiləm,Zəif,7,Semestrdə bir dəfədən az,Cavab verməkdə çətinlik çəkirəm,Razı deyiləm,Qismən razıyam,Zəif,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm
Philology,1,Part time,Teaching,Tam razıyam,Yaxşı,10,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Tam razıyam
Agriculture,3,Full time,,Qismən razıyam,Orta,7,Ayda bir dəfə,Qismən razıyam,Qismən razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Tam razıyam
Pedagogy,1,Full time,Teaching,Cavab verməkdə çətinlik çəkirəm,Orta,10,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Philology,3,Full time,Teaching,Heç razı deyiləm,Çox zəif,2,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Razı deyiləm
Philology,3,Part time,Teaching,Qismən razıyam,Yaxşı,10,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Philology,3,Part time,Teaching,Cavab verməkdə çətinlik çəkirəm,Zəif,8,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Qismən razıyam
Geology,2,Part time,Teaching,Cavab verməkdə çətinlik çəkirəm,Zəif,7,Semestrdə bir dəfədən az,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam
Engineering,3,Full time,No,Razı deyiləm,Yaxşı,9,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Philology,2,Part time,Teaching,Heç razı deyiləm,Çox zəif,10,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Orta,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm
Biology,3,Part time,Teaching,Razı deyiləm,Çox zəif,5,Ayda bir dəfə,Qismən razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Qismən razıyam
Culturology,2,Part time,Teaching,Heç razı deyiləm,Çox zəif,5,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Philology,1,Part time,Teaching,Qismən razıyam,Orta,8,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Philology,2,Full time,Teaching,Qismən razıyam,Yaxşı,9,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Philology,4,Part time,Entrepreneurship,Tam razıyam,Zəif,9,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Razı deyiləm
