Отметка времени,İşlədiyiniz müəssisənin növü,Elmi tədqiqatın ixtisas sahəsi  ,Vəzifəniz (ştat və ya yarımştat),Neçə ildir elmi rəhbər kimi çalışırsınız?,Hazırda rəhbərlik etdiyiniz doktorantların sayı  ,Çalışdığınız müəssisənin yerləşdiyi region,Elmi rəhbərlik forması, Tələbələrinizlə rəsmi elmi rəhbərlik görüşlərinin tezliyi ,Doktorantura proqramının başlanğıcında gözləntilər sizə aydın olurmu?,Akademik avtoritet kimi çıxış etmək,Tədqiqat metodlarını öyrətmək,Elmi etikaya yüksək səviyyədə riayət olunmasını təmin etmək ,İmtahanlara hazırlanma prosesində iştirak ,Nəşrlərlə bağlı məsləhət və dəstək vermək  ,Doktorantı şəxsi elmi tədqiqat layihələrinə cəlb etmək ,Elmi rəhbər kimi öhdəliklərimi səmərəli şəkildə yerinə yetirmək üçün kifayət qədər vaxtım var,Müəssisə doktorantlara elmi rəhbərlik üçün kifayət qədər inzibati dəstək göstərir ,Çalışdığım müəssisədə elmi rəhbərlər üçün təlim imkanları əlçatandır ,Dissertasiya şurasının prosedurları elmi keyfiyyəti və işin vaxtında tamamlanmasını təmin edir ,Mövcud maliyyələşdirmə mexanizmləri doktoranturanın uğurla tamamlanması üçün kifayətdir,Doktorantlar ümumilikdə dissertasiyanın təqdimatı və müdafiəsi üçün hazırlıqlı olurlar,Doktorantların təhsilini uğurla başa vurmaq üçün tələb olunan kurslarda iştirak etmək imkanları kifayət qədərdirmi?  ,Doktorantlarımın əksəriyyəti təhsillərini gözlənilən müddət ərzində uğurla tamamlaya bilirlər,Doktoranturanın tamamlanmasında yaranan gecikmələrin əksəriyyəti doktorantın özündən asılı olmayan amillərlə bağlıdır ,"Təcrübənizə əsasən, müəssisənizdə doktorantların doktorantura layihəsini tamamlaması üçün tələb olunan orta müddət nə qədərdir? ",Doktorantura proqramlarının icrası doktorantların akademik olmayan mühitdə karyerasının formalaşmasına da xidmət edir,Doktorantlarımla akademiyadan kənarda karyera imkanlarını müzakirə edirəm ,Rəhbərlik etdiyim doktorantlar ümumilikdə akademiyadan kənar məşğulluq üçün yaxşı hazırlaşmış olurlar ,Doktorantlar təhsilləri müddətində tez-tez yüksək stress yaşayırlar ,İnstitusional dəstək elmi rəhbərlərə doktorantların rifahı ilə bağlı məsələləri effektiv şəkildə həll etməyə imkan verir,Elmi rəhbərlər münaqişələrin həlli prosedurları barədə kifayət qədər məlumatlandırılmışdırlar  ,Tədqiqat etikası qaydalarını doktorantlara izah etmək və onları istiqamətləndirmək baxımından özünüzü nə dərəcədə hazır hesab edirsiniz?  ,Doktorantlara tədqiqat metodları üzrə təlim verməyə cavabdeh şəxs sizsinizmi?  ,"Doktorantlara elmi rəhbərlik üçün süni intellekt alətlərindən istifadə edirəm (məsələn, rəy vermə, ədəbiyyat axtarışı, üslubun yoxlanılması) ",Doktorantlarla süni intellekt alətlərindən düzgün istifadə məsələlərini müzakirə edirəm ,Müəssisədə doktorantura tədqiqatı və elmi rəhbərlikdə süni intellekt istifadəsi ilə bağlı aşkar qaydalar mövcuddur ,"Zəhmət olmasa, islahat üçün ən vacib hesab etdiyiniz üç istiqaməti seçin:  ",Doktoranturada elmi rəhbərliyin keyfiyyətini artırmaq üçün hansı dəyişiklik ən böyük təsir göstərə bilər?  ,Doktorantura təhsilinin təkmilləşdirilməsi ilə bağlı əlavə şərh və ya təkliflərinizi qeyd edin   
12.03.2026 18:27:42,Kompleks Qazma işləri Tresti,,Baş mühəndis,3,1,Bakı,Individual,Ayda bir dəfə,Çox aydındır,Vacib deyil,Çox vacibdir,Çox vacibdir,Vacibdir,Vacibdir,Çox vacibdir,Qismən razıyam,Raziyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,Raziyam,Raziyam,Ümumilikdə kifayət deyil,Raziyam,Qismən razıyam,3 ildən az,Raziyam,Qismən razıyam,Raziyam,Qismən razıyam,Raziyam,Raziyam,Qismən hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Raziyam,Raziyam,Qismən razıyam,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin təlimi və peşəkar inkişafı, Doktorantura tədqiqatında süni intellektin istifadəsi və qaydaların tənzimlənməsi",texniki sahədə istehsalat müəssisələri ilə institutların paralel işləməsi.,dürüst və real olmaq.
12.03.2026 18:29:48,Universitet,Engineering,dosent (ştat),5,3,Bakı,Individual,Ayda bir dəfə,Qismən aydındır,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Çox vacibdir,Vacibdir,Qismən razıyam,Qismən razıyam,Qismən razıyam,Raziyam,Heç razı deyiləm,Qismən razıyam,Qismən kifayətdir,Qismən razıyam,Raziyam,4-5 il,Qismən razıyam,Qismən razıyam,Raziyam,Qismən razıyam,Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,Çox hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Doktorantlar üçün maliyyə dəstəyi",Maliyyə dəstəyi,Universitetdə eksperimental tədqiqatların aparılması bazasının güclü olması
12.03.2026 18:40:28,Hər ikisi,Optics,"Fızıka ınstıtutu tam , ASOIU yarımştat",0.5,1,Bakı,Individual,Ayda bir dəfə,Çox aydındır,Vacibdir,Vacibdir,Çox vacibdir,Çox vacibdir,Çox vacibdir,Vacibdir,Raziyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,Raziyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Əsasən kifayət deyil,Heç razı deyiləm,Qismən razıyam,5-6 il,Raziyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Raziyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Qismən hazıram,"Bəli, əsasən mən",Qismən razıyam,Qismən razıyam,Heç razı deyiləm,"Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Tədqiqat etikası və akademik dürüstlük prosedurları, Rifah və psixi sağlamlıq dəstəyi",Hamıya eynı cür yanaşma prosesı. Yenı ayrıseçkilik  salınmama və Ədalət prinçipləri öndə gedərsə ,Doktorantlara vaxt və şərait yaratmaq . 
12.03.2026 19:26:17,Elmi-tədqiqat İnstitutu,Culturology,"Elmi katib, tam ştat",7,1,Bakı,Individual,Həftədə bir dəfə,Çox aydındır,Çox vacibdir,Çox vacibdir,Vacibdir,Vacibdir,Çox vacibdir,Vacibdir,Raziyam,Qismən razıyam,Qismən razıyam,Heç razı deyiləm,Heç razı deyiləm,Qismən razıyam,Əsasən kifayət deyil,Heç razı deyiləm,Çox razıyam,4-5 il,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Heç razı deyiləm,Çox hazıram,"Bəli, əsasən mən",Qismən razıyam,Qismən razıyam,Heç razı deyiləm,"Attestasiya və dissertasiya şurası prosedurları, İnzibati səmərəlilik və müddətlər, Doktorantlar üçün maliyyə dəstəyi",Maliyyə dəstəyi,Xarici dil imtahanların qismən sadələşdirilməsi proseduru
12.03.2026 19:40:29,Elmi-tədqiqat İnstitutu,Physical Electronics,Laboratoriya rehberi,5,5,Bakı,Individual,Həftədə bir dəfə,Qismən aydındır,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Qismən razıyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Qismən kifayətdir,Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,4-5 il,Qismən razıyam,Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Qismən razıyam,Qismən hazıram,"Xeyr, bu əsasən formal kurslar və ya digər bölmələr tərəfindən təmin olunur",Qismən razıyam,Qismən razıyam,Qismən razıyam,"Attestasiya və dissertasiya şurası prosedurları, Qaydaların aydınlığı və sabitliyi, Tədqiqat etikası və akademik dürüstlük prosedurları","Texniki və təbiət elmləri, xüsusilə fizika sahəsində doktorantura müddətinin ən azı beş il olması məqsədəuyğun hesab edilir. Çünki eksperimental tədqiqatların aparılması, nəticələrin təhlili və yüksək səviyyəli elmi məqalələrin hazırlanması üçün üç illik müddət çox vaxt kifayət etmir. Müddətin artırılması həm elmi rəhbərlik prosesinin keyfiyyətini, həm də tədqiqat nəticələrinin səviyyəsini yüksəldə bilər.","Texniki və təbiət elmləri, xüsusilə fizika sahəsində doktorantura müddətinin ən azı beş il olması məqsədəuyğun hesab edilir. Çünki eksperimental tədqiqatların aparılması, nəticələrin təhlili və yüksək səviyyəli elmi məqalələrin hazırlanması üçün üç illik müddət çox vaxt kifayət etmir. Müddətin artırılması həm elmi rəhbərlik prosesinin keyfiyyətini, həm də tədqiqat nəticələrinin səviyyəsini yüksəldə bilər."
12.03.2026 23:46:07,Universitet,Philology,Dosent 1 ştat,5,1,Bakı,Individual,Ayda bir dəfə,Çox aydındır,Qismən əhəmiyyətlidir,Vacibdir,Çox vacibdir,Vacibdir,Vacibdir,Vacibdir,Qismən razıyam,Raziyam,Raziyam,Raziyam,Raziyam,Raziyam,Qismən kifayətdir,Qismən razıyam,Raziyam,4-5 il,Qismən razıyam,Raziyam,Raziyam,Raziyam,Raziyam,Raziyam,Çox hazıram,"Bəli, əsasən mən",Qismən razıyam,Qismən razıyam,Qismən razıyam,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlik üçün institusional dəstək, Elmi rəhbərlərin təlimi və peşəkar inkişafı, Tədqiqat etikası və akademik dürüstlük prosedurları",,
13.03.2026 0:10:27,Universitet,Computer Science,Dosent,1,1,Bakı,Individual,Həftədə bir dəfə,Çox aydındır,Çox vacibdir,Vacibdir,Vacibdir,Az əhəmiyyətlidir,Vacibdir,Vacibdir,Qismən razıyam,Raziyam,Raziyam,Raziyam,Qismən razıyam,Heç razı deyiləm,Əsasən kifayət deyil,Raziyam,Raziyam,3-4 il,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Qismən razıyam,Çox hazıram,"Xeyr, bu əsasən formal kurslar və ya digər bölmələr tərəfindən təmin olunur",Çox razıyam,Çox razıyam,Raziyam,"Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Elmi rəhbərlik üçün institusional dəstək, Elmi rəhbərlərin təlimi və peşəkar inkişafı",Rehberin dissertantla emekdashligininndahavsix teminnolunmasi,Xaricinuniversitetlerinntecrubesini menimsemek
13.03.2026 7:54:56,Hər ikisi,Petroleum Engineering,Dosent,15,7,Bakı,Individual,Ayda bir dəfə,Çox aydındır,Çox vacibdir,Çox vacibdir,Çox vacibdir,Vacibdir,Çox vacibdir,Vacibdir,Heç razı deyiləm,Heç razı deyiləm,Qismən razıyam,Heç razı deyiləm,Heç razı deyiləm,Qismən razıyam,Əsasən kifayət deyil,Qismən razıyam,Heç razı deyiləm,3-4 il,Heç razı deyiləm,Qismən razıyam,Raziyam,Heç razı deyiləm,Qismən razıyam,Qismən razıyam,Çox hazıram,"Bəli, əsasən mən",Çox razıyam,Çox razıyam,Raziyam,"Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Tədqiqat etikası və akademik dürüstlük prosedurları, Doktorantura tədqiqatında süni intellektin istifadəsi və qaydaların tənzimlənməsi",,
14.03.2026 23:55:49,Hər ikisi,Theoretical Physics,aparıcı elmi işçi,14,2,Bakı,Individual,Həftədə bir dəfə,Qismən aydındır,Çox vacibdir,Çox vacibdir,Vacibdir,Az əhəmiyyətlidir,Çox vacibdir,Çox vacibdir,Raziyam,Cavab verməkdə çətinlik çəkirəm,Raziyam,Cavab verməkdə çətinlik çəkirəm,Heç razı deyiləm,Raziyam,Əsasən kifayət deyil,Heç razı deyiləm,Qismən razıyam,5-6 il,Qismən razıyam,Heç razı deyiləm,Heç razı deyiləm,Raziyam,Raziyam,Raziyam,Çox hazıram,"Bəli, əsasən mən",Qismən razıyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlik üçün institusional dəstək, Doktorantlar üçün maliyyə dəstəyi",Elmi rəhbərlik üçün illik ödənişli saatların miqdarı 40 saatdan 120 saata qaldırılması. Grammarly kimi ingilis dili redaktə proqramı ilə təhciz olunması ,"Doktorantlar aldıqları təqaüdə əlavə olaraq doktorant olduqları qurumda illik müqavilə ilə yarım ştat işə götürülsün. İş masası, kompyuter və internetlə təmin olunsunlar. Doktorantlara ildə heç olmasa bir dəfə xaricdə qış və ya yay məktəbində iştirakın ezamiyyət xərcləri ödənsin. Rəhbərlərə Bakıda yay və ya  məktəbləri keçirilməsinə vəsait ayrılsın. Qeyd edim ki, 2003-cü ildə mən İranda uzunmüddətli eazamiyyətdə olanda doktorantın xaricdə 1 illik təcrübə keçməsi maliyyələşdirilirdi."
16.03.2026 8:53:02,Elmi-tədqiqat İnstitutu,Oil and Gas Field Development,Aparici elmi isci,5,4,Bakı,Individual,Ayda bir dəfə,Çox aydındır,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Raziyam,Raziyam,Raziyam,Raziyam,Qismən razıyam,Raziyam,Qismən kifayətdir,Qismən razıyam,Qismən razıyam,3-4 il,Raziyam,Raziyam,Raziyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Qismən hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Raziyam,Qismən razıyam,Qismən razıyam,"Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Elmi rəhbərlik üçün institusional dəstək, Tədqiqat etikası və akademik dürüstlük prosedurları",Muasir tedqiqat labaratoriyalarinin movcudlugu.,
